id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;id_reservatorio
NE;Nordeste;Fio dagua;JEQUITINHONHA;NORDESTE;ITAPEBI;67;154;2021-01-01;109.73000000;26.80000000;;101.73000336;57.00000000;21.00000000;0E-8;78.00000000;0E-8;273.35000610;;46.59000015;-0.90900000;1.46900000;JEUITP
NE;Nordeste;Reservatório com Usina;PARAGUACU;NORDESTE;PEDRA DO CAVALO;104;189;2021-01-01;114.08000000;3.75000000;94.38000000;16.72999954;39.00000000;0E-8;;39.00000000;;15.15999985;;15.15999985;;;PGUCV
NE;Nordeste;Reservatório com Usina;PARNAIBA;NORDESTE;BOA ESPERANÇA;105;190;2021-01-01;299.32000000;258.83000000;19.14000000;374.30999756;247.00000000;0E-8;;247.00000000;;381.67999268;;381.67999268;6.67900000;0.68710000;PIBESP
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;NORDESTE;SOBRADINHO;175;169;2021-01-01;387.89000000;362.63000000;46.22000000;1710.00000000;1710.00000000;0E-8;;1710.00000000;;1278.75000000;;624.75000000;;;SFSOBR
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;NORDESTE;ITAPARICA;176;172;2021-01-01;301.45000000;251.48000000;45.42000000;1980.00000000;1602.00000000;0E-8;;1602.00000000;;1466.98999023;;0E-8;;;SFLGON
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;MOXOTO;177;173;2021-01-01;251.60000000;230.11000000;;1592.84997559;0E-8;0E-8;;0E-8;1621.00000000;1625.94995117;;0E-8;;;SFMOXO
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;P. AFONSO 1,2,3;178;174;2021-01-01;230.20000000;168.54000000;;0E-8;0E-8;0E-8;;0E-8;;1625.94995117;;0E-8;;;SFP123
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;P. AFONSO 4;179;175;2021-01-01;251.30000000;138.83000000;;1453.95996094;1616.00000000;0E-8;;1616.00000000;;1625.94995117;;;;;SFPAF4
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;XINGO;180;178;2021-01-01;137.57000000;16.33000000;;1616.00000000;1659.00000000;0E-8;;1659.00000000;;1675.41003418;;0E-8;;;SFXING
N;Norte;Fio dagua;ARAGUARI;MANAUS-AMAPA;CACHOEIRA CALDEIRAO;1;204;2021-01-01;58.30000000;42.13000000;;374.49000000;346.00000000;0E-8;;346.00000000;;384.95999146;;384.95999146;0.86700000;;AAUCCA
N;Norte;Fio dagua;ARAGUARI;MANAUS-AMAPA;COARACY NUNES;2;280;2021-01-01;42.00999832;21.83000000;;337.60000610;377.00000000;0E-8;0E-8;376.72000122;0E-8;387.07000732;;1.16999996;;0.01000000;AMUHCN
N;Norte;Fio dagua;ARAGUARI;MANAUS-AMAPA;FERREIRA GOMES;3;284;2021-01-01;20.69000000;2.46000000;;376.82998657;373.00000000;0E-8;0E-8;373.00000000;0E-8;390.97000122;;3.10999990;0.34800000;0.02000000;AAFGO
N;Norte;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;BALBINA;10;277;2021-01-01;46.92800000;25.11000000;15.20000000;1260.11000000;393.00000000;0E-8;0E-8;393.00000000;0E-8;1309.25000000;;1309.25000000;21.64300000;0.03000000;AMUHBB
N;Norte;Reservatório com Usina;AMAZONAS;BELO MONTE;CURUA-UNA;16;272;2021-01-01;31.37000000;10.80000000;82.34000000;166.00000000;166.00000000;0E-8;0E-8;166.00000000;0E-8;167.26000000;;167.26000000;1.20000000;0.06000000;CRCURU
