id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;id_reservatorio
N;Norte;Fio dagua;AMAZONAS;BELO MONTE;PIMENTAL;19;314;2018-01-01;96.84000000;84.04000000;;5574.47000000;1310.00000000;2155.00000000;12.00000000;3476.62000000;2087.70500000;5643.22000000;1047.39000000;5030.79000000;0E-8;5.46100000;AMUSPM
N;Norte;Fio dagua;TOCANTINS;NORTE;ESTREITO;211;267;2018-01-01;155.12000000;131.15000000;;1718.00000000;1718.00000000;0E-8;;1718.00000000;;2560.16000000;;1375.84000000;4.64600000;8.41480000;TOUHET
N;Norte;Reservatório com Usina;TOCANTINS;NORTE;TUCURUI;212;275;2018-01-01;63.50000000;4.88000000;36.32000000;8980.44000000;3861.00000000;0E-8;0E-8;3861.00000000;0E-8;8589.91000000;;5511.37011719;7.95200000;23.98420000;TOTUCU
SE;Sudeste/Centro-Oeste;Fio dagua;AMAZONAS;MADEIRA;GUAPORE;4;196;2018-01-01;479.16000000;304.26000000;;38.97000000;34.00000000;0E-8;3.00000000;37.00000000;0E-8;39.27000000;;41.43000000;0.03500000;0.04000000;AMUGUA
SE;Sudeste/Centro-Oeste;Fio dagua;AMAZONAS;MADEIRA;JIRAU;5;285;2018-01-01;89.04000000;73.67000000;;25451.96000000;17197.00000000;8317.87000000;197.00000000;25320.00000000;;26783.67000000;;24965.05000000;-8.88900000;56.32450000;AMUHJI
SE;Sudeste/Centro-Oeste;Fio dagua;AMAZONAS;MADEIRA;SANTO ANTONIO;6;287;2018-01-01;70.86000000;56.86000000;;27268.44000000;18635.00000000;9123.00000000;12.00000000;27770.00000000;0E-8;27431.10000000;;1753.82000000;-8.99200000;56.32450000;AMUSSN
SE;Sudeste/Centro-Oeste;Reservatório com Usina;AMAZONAS;MADEIRA;SAMUEL;7;279;2018-01-01;83.04000000;53.24000000;25.16000000;636.27000000;160.00000000;0E-8;;160.00000000;;655.68000000;;766.84000000;5.61100000;0.32000000;AMSU
SE;Sudeste/Centro-Oeste;Reservatório com Usina;AMAZONAS;MADEIRA;RONDON II;8;276;2018-01-01;264.40000000;204.77000000;13.20000000;147.70000000;90.00000000;0E-8;14.00000000;104.00000000;0E-8;148.88000000;;194.13000000;0.96800000;0.21000000;AMUHRD
SE;Sudeste/Centro-Oeste;Fio dagua;AMAZONAS;MADEIRA;DARDANELOS;9;310;2018-01-01;213.51000000;114.23000000;;221.99000000;190.00000000;28.00000000;;222.00000000;;222.15000000;;285.14000000;0.00400000;0.16000000;AMDA
SE;Sudeste/Centro-Oeste;Reservatório com Usina;AMAZONAS;;SINOP;11;227;2018-01-01;0E-8;;;853.61000000;;853.61000000;;853.61000000;;851.27000000;;1159.02000000;;;AMSNPE
SE;Sudeste/Centro-Oeste;Fio dagua;AMAZONAS;TELES PIRES;COLIDER;12;228;2018-01-01;271.70000000;248.65000000;;923.72000000;0E-8;774.00000000;0E-8;774.00000000;;942.46000000;;94.94000000;0E-8;;AMCLR
SE;Sudeste/Centro-Oeste;Fio dagua;AMAZONAS;TELES PIRES;TELES PIRES;14;229;2018-01-01;220.44000000;163.81000000;;2522.00000000;2522.00000000;0E-8;0E-8;2522.00000000;0E-8;2518.22000000;;2482.28000000;2.55700000;3.16900000;AMUHTP
SE;Sudeste/Centro-Oeste;Fio dagua;AMAZONAS;TELES PIRES;SAO MANOEL;15;230;2018-01-01;161.44000000;136.73000000;;2432.00000000;1514.00000000;776.00000000;;2432.00000000;;2514.36000000;;22.54000000;0E-8;;AMUSMA
SE;Sudeste/Centro-Oeste;Fio dagua;DOCE;SUDESTE;CANDONGA;22;139;2018-01-01;312.60000000;;;118.33000000;;110.97000000;;110.97000000;;98.23000000;;98.23000000;-0.02300000;0.72000000;DCUHEC
SE;Sudeste/Centro-Oeste;Fio dagua;DOCE;SUDESTE;GUILM. AMORIM;23;192;2018-01-01;494.82000000;376.79000000;;34.46000000;34.00000000;0E-8;0E-8;34.00000000;0E-8;33.59000000;;33.59000000;-0.01200000;0.55000000;PCGAMO
SE;Sudeste/Centro-Oeste;Fio dagua;DOCE;SUDESTE;SA CARVALHO;24;193;2018-01-01;372.36000000;255.99000000;;34.77000000;35.00000000;0E-8;;35.00000000;;35.50000000;;2.46000000;-0.00200000;0.55000000;DCSCAR
SE;Sudeste/Centro-Oeste;Reservatório sem usina;DOCE;SUDESTE;SANTONIO CM;25;193;2018-01-01;361.30000000;;;38.00000000;;4.00000000;;38.00000000;35.00000000;;;;;;DCSACM
SE;Sudeste/Centro-Oeste;Fio dagua;DOCE;SUDESTE;SALTO GRANDE CM;26;134;2018-01-01;353.98000000;;;50.00000000;46.00000000;0E-8;;46.00000000;;50.09000000;;50.09000000;-0.08500000;0.17000000;SASGCM
SE;Sudeste/Centro-Oeste;Reservatório com Usina;DOCE;SUDESTE;PORTO ESTRELA;27;135;2018-01-01;256.38000000;204.64000000;85.33000000;51.74000000;50.00000000;0E-8;0E-8;50.00000000;0E-8;52.08000000;;2.11000000;-0.04600000;0.19000000;DCPORT
SE;Sudeste/Centro-Oeste;Fio dagua;DOCE;SUDESTE;BAGUARI;28;141;2018-01-01;184.96000000;165.19000000;;238.57000000;193.00000000;0E-8;;230.63000000;;230.40000000;;50.81000000;-0.04700000;3.33000000;DCUBAG
SE;Sudeste/Centro-Oeste;Fio dagua;DOCE;SUDESTE;AIMORES;29;143;2018-01-01;89.94000000;59.53000000;;255.94000000;217.00000000;16.00000000;16.00000000;249.00000000;;299.11000000;;80.00000000;-0.15400000;4.42290000;DCAIMO
SE;Sudeste/Centro-Oeste;Fio dagua;DOCE;SUDESTE;MASCARENHAS;30;144;2018-01-01;60.10000000;37.83000000;;306.31000000;293.00000000;0E-8;;293.00000000;;339.07000000;;40.44000000;-0.05000000;5.00970000;DCMASC
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;PARANA;CAMARGOS;31;1;2018-01-01;904.36000000;885.76000000;26.36000000;107.61000000;59.00000000;0E-8;;59.00000000;;107.41000000;;107.41000000;0.09600000;0.19650000;GRCAMA
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;ITUTINGA;32;2;2018-01-01;885.70000000;856.40000000;;64.12500000;63.00000000;0E-8;;63.00000000;;107.41000000;;0E-8;;;GRITUT
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;FUNIL-MG;33;4;2018-01-01;808.00000000;767.40000000;;232.32000000;241.00000000;0E-8;;241.00000000;;285.46000000;;175.50000000;0.17500000;0.80190000;GRFUNI
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;PARANA;FURNAS;34;6;2018-01-01;753.34000000;669.01000000;11.64000000;782.50000000;220.00000000;0E-8;0E-8;220.00000000;0E-8;825.95000000;;543.55000000;6.37800000;3.70870000;GRFURN
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;PARANA;M. MORAES;35;7;2018-01-01;656.80000000;620.67000000;23.47000000;237.93000000;341.00000000;0E-8;0E-8;341.00000000;0E-8;872.72000000;;182.77000000;1.55900000;4.26320000;GRMMOR
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;L. C. BARRETO;36;8;2018-01-01;620.65000000;557.91000000;;386.04000000;360.00000000;0E-8;0E-8;360.00000000;0E-8;871.22000000;;42.18000000;0.34400000;4.32870000;GRLCBA
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;JAGUARA;37;9;2018-01-01;557.71000000;512.35000000;;377.40000000;500.00000000;0E-8;;502.40000000;;857.14000000;;17.45000000;0.27800000;4.35870000;GRJAGU
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;IGARAPAVA;38;10;2018-01-01;512.01000000;494.86000000;;597.25000000;627.00000000;0E-8;0E-8;627.00000000;;845.55000000;;49.93000000;0.45700000;4.46320000;GRIGAR
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;VOLTA GRANDE;39;11;2018-01-01;494.84000000;465.66000000;;791.74000000;426.00000000;0E-8;;426.00000000;;885.98000000;;111.50000000;1.85900000;4.63870000;GRVGRA
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;P. COLOMBIA;40;12;2018-01-01;466.32000000;442.61000000;;627.75000000;195.00000000;0E-8;0E-8;195.00000000;0E-8;1015.82000000;;195.92000000;1.38900000;6.03450000;GRPCOL
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;PARANA;CACONDE;41;14;2018-01-01;834.91000000;750.30000000;17.06000000;69.69000000;33.00000000;0E-8;0E-8;33.00000000;0E-8;74.00000000;;74.00000000;0.11200000;0.38000000;PDCACO
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;E. DA CUNHA;42;15;2018-01-01;664.30000000;576.86000000;;83.77000000;84.00000000;0E-8;0E-8;84.00000000;0E-8;120.90000000;;46.72000000;0.01100000;0.63000000;PDECUN
SE;Sudeste/Centro-Oeste;Fio dagua;GRANDE;PARANA;LIMOEIRO;43;16;2018-01-01;572.27000000;546.83000000;;79.60000000;84.00000000;0E-8;0E-8;84.00000000;0E-8;121.10000000;;1.81000000;;;PDLIMO
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;PARANA;MARIMBONDO;44;17;2018-01-01;435.73000000;380.36000000;31.95000000;605.85000000;504.00000000;0E-8;0E-8;504.00000000;0E-8;1252.69000000;;318.55000000;2.54300000;13.98870000;GRMARI
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;PARANA;A. VERMELHA;45;18;2018-01-01;375.80000000;326.68000000;20.21000000;1025.38000000;1077.00000000;0E-8;0E-8;1077.00000000;0E-8;1605.08000000;;507.39000000;3.83700000;16.85030000;GRAGVL
SE;Sudeste/Centro-Oeste;Fio dagua;ITABAPOANA;SUDESTE;ROSAL;65;217;2018-01-01;555.10000000;360.78000000;;21.23000000;16.00000000;5.10000000;2.00000000;21.00000000;;21.34000000;;21.34000000;-0.00200000;0.11000000;ITRSL
SE;Sudeste/Centro-Oeste;Reservatório com Usina;JEQUITINHONHA;SUDESTE;IRAPE;66;148;2018-01-01;479.67000000;330.20000000;15.84000000;43.99000000;36.00000000;0E-8;;36.00000000;;43.50000000;;43.50000000;-0.53500000;0.13000000;JEIRAP
SE;Sudeste/Centro-Oeste;Fio dagua;MUCURI;SUDESTE;STA.CLARA-MG;76;283;2018-01-01;86.04000000;33.10000000;;39.40000000;34.00000000;0E-8;1.00000000;35.00000000;0E-8;39.95000000;;39.95000000;-0.04900000;0.59740000;MUSCLA
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;PARAIBUNA;79;121;2018-01-01;701.82000000;625.80000000;30.58000000;54.03000000;83.00000000;0E-8;0E-8;83.00000000;;59.61000000;;59.61000000;-2.05300000;0.13000000;PBPARA
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SANTA BRANCA;80;122;2018-01-01;613.42000000;576.44000000;38.50000000;95.13000000;80.00000000;0E-8;;80.00000000;;70.91000000;;9.13000000;-0.15500000;0.15550000;PBSTAB
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;JAGUARI;81;120;2018-01-01;612.91000000;556.50000000;40.22000000;14.97000000;24.00000000;0E-8;0E-8;24.00000000;0E-8;14.54000000;;14.54000000;-0.49300000;0.10000000;PBJAGU
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;FUNIL;82;123;2018-01-01;451.56000000;394.20000000;24.06000000;190.55000000;138.00000000;0E-8;0E-8;138.00000000;0E-8;205.79000000;;94.60000000;-0.32800000;6.01480000;PBFUNI
SE;Sudeste/Centro-Oeste;Reservatório Com Usina de Bombeamento;PARAIBA DO SUL;SUDESTE;SANTA CECILIA;83;125;2018-01-01;352.43000000;349.05000000;;186.30000000;;71.79000000;;71.79000000;119.60000000;283.16000000;;55.29000000;-0.00400000;6.60030000;PBSTAC
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;PICADA;84;126;2018-01-01;658.99000000;526.08000000;;25.74000000;23.00000000;0E-8;1.00000000;24.00000000;;25.78000000;;25.78000000;-0.01200000;0.06000000;PBPCDA
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;SOBRAGI;85;127;2018-01-01;437.04000000;355.29000000;;42.00000000;40.00000000;0E-8;2.00000000;42.00000000;;44.67000000;;18.91000000;-0.00100000;0.76100000;PUSOBR
SE;Sudeste/Centro-Oeste;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;ANTA;86;128;2018-01-01;251.30000000;232.00000000;80.00000000;234.22000000;0E-8;96.00000000;0E-8;96.00000000;155.00000000;435.70000000;266.20000000;114.70000000;;8.29770000;PBANTA
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;SIMPLICIO;87;129;2018-01-01;250.40000000;138.96000000;;155.19000000;156.00000000;0E-8;0E-8;156.00000000;0E-8;0.25000000;155.00000000;0E-8;;;PBUSSI
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;ILHA POMBOS;88;130;2018-01-01;138.80000000;106.32000000;;274.64000000;317.00000000;0E-8;;317.00000000;;471.87000000;302.37000000;31.12000000;0.01900000;8.43970000;PBILHP
SE;Sudeste/Centro-Oeste;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SANTANA;89;181;2018-01-01;363.16000000;;75.76000000;17.48000000;;0E-8;;0E-8;;9.50000000;163.02000000;3.02000000;;;RPSANT
SE;Sudeste/Centro-Oeste;Reservatório Com Usina de Bombeamento;PARAIBA DO SUL;SUDESTE;VIGARIO;90;182;2018-01-01;398.22000000;362.77000000;;102.36700000;;0E-8;;111.00000000;;0E-8;163.02000000;;;0E-8;PBVIG
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;NILO PEÇANHA;91;131;2018-01-01;;;;103.00000000;103.00000000;;;103.00000000;;2.63000000;144.00000000;;;0.03000000;RLNPEC
SE;Sudeste/Centro-Oeste;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;TOCOS;92;180;2018-01-01;442.92000000;;18.28000000;9.00000000;;0E-8;0E-8;14.79000000;14.79000000;6.48000000;;6.48000000;;0.03000000;RPTOCO
SE;Sudeste/Centro-Oeste;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;LAJES;93;124;2018-01-01;412.72000000;;84.99000000;15.37000000;;0E-8;;9.00000000;-15.00000000;2.63000000;9.11000000;2.63000000;-0.30600000;0.03000000;RLLAJE
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;FONTES;94;132;2018-01-01;;;;15.37000000;22.00000000;;;22.00000000;;2.63000000;28.13000000;;;0.03000000;RLFONT
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;PEREIRA PASSOS;95;133;2018-01-01;86.11000000;47.81000000;;15.37000000;124.00000000;0E-8;;124.00000000;;2.63000000;172.13000000;;0E-8;0.03000000;RLPPAS
SE;Sudeste/Centro-Oeste;Fio dagua;PARAIBA DO SUL;SUDESTE;BARRA BRAUNA;96;185;2018-01-01;;;;;;;;;;63.70999908;;;;;PBBBRA
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;BATALHA;106;20;2018-01-01;793.64000000;754.80000000;46.43000000;87.08000000;34.00000000;0E-8;0E-8;34.00000000;0E-8;63.31000000;;63.31000000;0.30700000;0.13000000;PNUSBL
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;S.DO FACÃO;107;21;2018-01-01;742.11000000;674.00000000;31.41000000;110.42000000;0E-8;0E-8;17.00000000;17.00000000;0E-8;101.19000000;;39.63000000;1.00500000;0.19000000;PNUHSF
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;EMBORCAÇÃO;108;24;2018-01-01;624.81000000;520.18000000;12.88000000;166.00000000;166.00000000;0E-8;;166.00000000;;253.45000000;;154.16000000;0.81100000;0.98130000;PREMBO
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;NOVA PONTE;109;25;2018-01-01;785.33000000;696.39000000;14.65000000;284.50000000;147.00000000;0E-8;;147.00000000;;266.31000000;;266.31000000;2.06200000;0.68000000;PRNPON
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;MIRANDA;110;26;2018-01-01;695.91000000;623.88000000;96.94000000;209.09000000;175.00000000;0E-8;;174.02000000;;282.39000000;;14.83000000;0.38900000;0.74000000;ARMIRA
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;C.BRANCO-1;111;27;2018-01-01;623.44000000;564.68000000;19.67000000;196.75000000;231.00000000;0E-8;8.00000000;239.00000000;;282.61000000;;1.85000000;0.19600000;0.74450000;PNCPB1
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAIBA;PARANA;C.BRANCO-2;112;28;2018-01-01;564.93000000;517.88000000;;254.00000000;254.00000000;0E-8;;254.00000000;;285.45000000;;4.45000000;0.32600000;0.77000000;PNCPB2
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;CORUMBA-4;113;29;2018-01-01;839.26600000;769.89000000;38.19000000;91.04000000;0E-8;13.00000000;;13.00000000;;95.30000000;;95.30000000;2.28600000;0.57000000;PNUCB4
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;CORUMBA-3;114;203;2018-01-01;770.16000000;730.32000000;51.01000000;46.69000000;0E-8;24.00000000;;24.00000000;0E-8;129.84000000;;32.62000000;0.66400000;0.67000000;PNUCB3
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;CORUMBA;115;30;2018-01-01;586.83000000;516.46000000;57.15000000;310.07000000;150.00000000;0E-8;0E-8;150.00000000;0E-8;409.84000000;;293.56000000;0.22800000;1.32450000;COCORU
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;ITUMBIARA;116;31;2018-01-01;501.48000000;433.94000000;16.80000000;774.70000000;296.00000000;0E-8;0E-8;296.00000000;0E-8;1244.21000000;;349.63000000;2.50100000;4.76390000;PRITUM
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAIBA;PARANA;C. DOURADA;117;32;2018-01-01;431.14000000;395.64000000;;444.89000000;306.00000000;0E-8;;306.00000000;;1300.70000000;;68.58000000;0.63000000;5.05390000;PRCDOU
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;SÃO SIMÃO;118;33;2018-01-01;396.38000000;326.27000000;52.16000000;1104.89000000;716.00000000;0E-8;;716.00000000;;2180.06000000;;896.53000000;4.47100000;11.56420000;PRSSIM
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;CACU;119;311;2018-01-01;475.47000000;449.10000000;22.62000000;187.11000000;214.00000000;0E-8;0E-8;214.00000000;0E-8;229.96000000;;229.96000000;0.12100000;0.36000000;PNCACU
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAIBA;PARANA;B.COQUEIROS;120;312;2018-01-01;446.64000000;410.78000000;;237.68000000;213.00000000;0E-8;0E-8;213.00000000;0E-8;240.58000000;;9.43000000;0.18900000;0.39000000;PNUHBC
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAIBA;PARANA;FOZ DO RIO CLARO;121;315;2018-01-01;353.57000000;326.42000000;;265.00000000;265.00000000;0E-8;0E-8;265.00000000;0E-8;255.61000000;;16.51000000;-0.05600000;0.43000000;PNUFRC
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAIBA;PARANA;SALTO;122;262;2018-01-01;446.54000000;395.15000000;;221.48000000;256.00000000;0E-8;0E-8;256.08000000;0E-8;215.97000000;;215.97000000;0.64300000;0.25550000;PNST
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAIBA;PARANA;S.R.VERDINHO;123;241;2018-01-01;370.40000000;326.84000000;;227.63000000;239.00000000;19.00000000;;258.00000000;0E-8;225.47000000;;19.18000000;0.33000000;0.28550000;PNSV
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAIBA;PARANA;ESPORA;124;290;2018-01-01;579.52000000;531.11000000;32.52000000;73.82000000;76.00000000;0E-8;0E-8;76.00000000;0E-8;74.43000000;;74.43000000;0.15800000;0.07000000;PNUHES
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;JURUMIRIM;128;47;2018-01-01;563.83000000;532.14000000;45.66000000;510.49000000;204.00000000;0E-8;0E-8;204.00000000;0E-8;500.21000000;;500.21000000;5.16200000;0.98000000;PPJURU
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAPANEMA;PARANAPANEMA;PIRAJU;129;48;2018-01-01;531.50000000;505.57000000;;223.00000000;222.00000000;0E-8;1.00000000;223.00000000;0E-8;517.99000000;;38.91000000;0.20100000;1.03000000;PPPJU
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;CHAVANTES;131;49;2018-01-01;470.82000000;398.45000000;60.22000000;1023.09000000;232.00000000;0E-8;0E-8;232.00000000;0E-8;1283.59000000;;807.00000000;3.94300000;1.77450000;PPCHAV
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAPANEMA;PARANAPANEMA;OURINHOS;132;249;2018-01-01;397.96000000;386.11000000;;232.97000000;229.00000000;4.00000000;2.00000000;235.00000000;0E-8;1262.61000000;;14.64000000;0.06000000;1.80550000;PPORI
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAPANEMA;PARANAPANEMA;SALTO GRANDE CS;133;50;2018-01-01;384.17000000;366.88000000;;612.75000000;420.00000000;210.00000000;0E-8;630.00000000;0E-8;1594.68000000;;367.49000000;0.16100000;3.17450000;PPSGCS
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAPANEMA;PARANAPANEMA;CANOAS II;134;51;2018-01-01;365.96000000;351.84000000;;633.00000000;538.00000000;95.00000000;0E-8;633.00000000;0E-8;1586.86000000;;28.81000000;0.29200000;3.38420000;PPCNO2
SE;Sudeste/Centro-Oeste;Fio dagua;PARANAPANEMA;PARANAPANEMA;CANOAS I;135;52;2018-01-01;350.80000000;334.68000000;;708.45000000;543.00000000;182.00000000;0E-8;725.00000000;0E-8;1611.38000000;;61.41000000;0.30400000;3.67100000;PPCNO1
SE;Sudeste/Centro-Oeste;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;CAPIVARA;137;61;2018-01-01;332.60000000;285.16000000;86.35000000;3780.00000000;1033.00000000;506.00000000;0E-8;1539.00000000;0E-8;4886.32000000;;1636.97000000;3.09700000;9.71420000;PPCAPI
