id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;id_reservatorio
NE;Nordeste;Fio dagua;JEQUITINHONHA;NORDESTE;ITAPEBI;67;154;2018-01-01;109.73000000;26.98000000;;80.57000000;96.00000000;18.07000000;;112.17000000;0E-8;73.10000000;;46.35000000;-0.90900000;1.43810000;JEUITP
NE;Nordeste;Reservatório com Usina;PARAGUACU;NORDESTE;PEDRA DO CAVALO;104;189;2018-01-01;111.06000000;3.23000000;23.77000000;1.00000000;3.00000000;0E-8;;3.00000000;;4.20000000;;4.20000000;;;PGUCV
NE;Nordeste;Reservatório com Usina;PARNAIBA;NORDESTE;BOA ESPERANÇA;105;190;2018-01-01;301.17000000;258.83000000;48.54000000;358.17000000;246.00000000;0E-8;;254.00000000;;359.64000000;;359.64000000;7.35400000;0.64350000;PIBESP
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;NORDESTE;SOBRADINHO;175;169;2018-01-01;382.68000000;361.25000000;9.79000000;2921.39000000;601.00000000;0E-8;;595.00000000;;2648.65000000;;2078.65000000;;;SFSOBR
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;NORDESTE;ITAPARICA;176;172;2018-01-01;299.72000000;251.16000000;12.68000000;387.11000000;526.00000000;0E-8;;526.00000000;;3143.18000000;;83.88000000;;;SFLGON
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;MOXOTO;177;173;2018-01-01;251.30000000;230.12000000;;799.00000000;0E-8;0E-8;;0E-8;526.00000000;3153.17000000;;0E-8;;;SFMOXO
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;P. AFONSO 1,2,3;178;174;2018-01-01;230.30000000;168.54000000;;0E-8;0E-8;0E-8;;0E-8;;3153.17000000;;;;;SFP123
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;P. AFONSO 4;179;175;2018-01-01;251.07000000;137.98000000;;497.57000000;485.00000000;0E-8;;486.00000000;;3153.17000000;;;;;SFPAF4
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;XINGO;180;178;2018-01-01;137.32000000;13.47000000;;548.43000000;468.00000000;92.00000000;;560.00000000;;3153.17000000;;0E-8;;;SFXING
N;Norte;Fio dagua;ARAGUARI;MANAUS-AMAPA;CACHOEIRA CALDEIRAO;1;204;2018-01-01;58.27000000;42.15000000;;518.65000000;552.00000000;1.00000000;;553.00000000;;534.45000000;;471.47000000;0.86100000;;AAUCCA
N;Norte;Fio dagua;ARAGUARI;MANAUS-AMAPA;COARACY NUNES;2;280;2018-01-01;41.99000000;21.79000000;;552.03000000;399.00000000;145.00000000;0E-8;543.00000000;0E-8;539.86000000;;1.43000000;;0.01000000;AMUHCN
N;Norte;Fio dagua;ARAGUARI;MANAUS-AMAPA;FERREIRA GOMES;3;284;2018-01-01;20.76000000;2.76000000;;562.47000000;549.00000000;0E-8;0E-8;549.00000000;0E-8;548.09000000;;3.81000000;0.35000000;;AAFGO
N;Norte;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;BALBINA;10;277;2018-01-01;47.13000000;25.88000000;18.71000000;518.50000000;720.00000000;0E-8;0E-8;720.00000000;0E-8;569.54000000;;354.62000000;22.10000000;0.03000000;AMUHBB
N;Norte;Reservatório com Usina;AMAZONAS;BELO MONTE;CURUA-UNA;16;272;2018-01-01;26.84000000;10.17000000;15.57000000;131.71000000;126.00000000;0E-8;;126.00000000;;130.28000000;;160.34000000;0.41200000;0.06000000;CRCURU
N;Norte;Fio dagua;AMAZONAS;MANAUS-AMAPA;STO ANTONIO DO JARI;17;286;2018-01-01;29.55000000;2.67000000;;312.50000000;376.00000000;0E-8;;376.00000000;;324.16000000;;305.80000000;0.42300000;0.77550000;AMSAJ
N;Norte;Fio dagua;AMAZONAS;BELO MONTE;BELO MONTE;18;288;2018-01-01;96.78000000;3.64000000;;0E-8;2120.00000000;0E-8;0E-8;2048.00000000;0E-8;0E-8;3983.40000000;0E-8;0E-8;;AMUSBM
