id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;id_reservatorio
NE;Nordeste;Fio dagua;JEQUITINHONHA;NORDESTE;ITAPEBI;67;154;2017-01-01;109.69000000;26.61000000;;102.73000000;47.00000000;32.00000000;;79.00000000;0E-8;70.86000000;;33.54000000;-0.90900000;1.42260000;JEUITP
NE;Nordeste;Reservatório com Usina;PARAGUACU;NORDESTE;PEDRA DO CAVALO;104;189;2017-01-01;112.29000000;3.31000000;71.41000000;4.44000000;4.00000000;0E-8;0E-8;4.00000000;0E-8;4.32000000;;4.32000000;;;PGUCV
NE;Nordeste;Reservatório com Usina;PARNAIBA;NORDESTE;BOA ESPERANÇA;105;190;2017-01-01;299.75000000;258.84000000;25.73000000;207.28000000;242.00000000;0E-8;;242.00000000;;213.50000000;;213.50000000;6.83400000;0.62900000;PIBESP
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;NORDESTE;SOBRADINHO;175;169;2017-01-01;383.28000000;361.49000000;12.92000000;1900.00000000;768.00000000;0E-8;;768.00000000;;2806.49000000;;2017.49000000;;;SFSOBR
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;NORDESTE;ITAPARICA;176;172;2017-01-01;299.59000000;251.34000000;10.34000000;680.00000000;828.00000000;0E-8;;828.00000000;;3137.13000000;;55.64000000;;;SFLGON
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;MOXOTO;177;173;2017-01-01;251.40000000;229.66000000;;799.00000000;34.00000000;0E-8;;34.00000000;700.00000000;3043.17000000;;0E-8;;;SFMOXO
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;P. AFONSO 1,2,3;178;174;2017-01-01;229.84000000;168.54000000;;0E-8;0E-8;0E-8;;0E-8;;3043.17000000;;;;;SFP123
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;P. AFONSO 4;179;175;2017-01-01;251.24000000;137.95000000;;755.87000000;698.00000000;0E-8;;698.00000000;;3043.17000000;;;;;SFPAF4
NE;Nordeste;Fio dagua;SAO FRANCISCO;NORDESTE;XINGO;180;178;2017-01-01;137.66000000;14.27000000;;760.00000000;762.00000000;0E-8;;762.00000000;;3043.17000000;;0E-8;;;SFXING
N;Norte;Fio dagua;ARAGUARI;NORTE;CACHOEIRA CALDEIRAO;1;204;2017-01-01;58.32000000;42.00000000;;322.29000000;286.00000000;2.00000000;0E-8;288.00000000;0E-8;322.63000000;;322.63000000;0.87100000;;AAUCCA
