id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS       ;TELES PIRES         ;AMJRN;JURUENA;11;309;2026-01-01;452.34;416.8;504.77;138.97;78.0;60.0;;138.0;0.0;141.29;;141.29;0.003;2.32;141.29
SE;Sudeste/Centro-Oeste;RCU;AMAZONAS       ;TELES PIRES         ;AMSNPE;SINOP;12;227;2026-01-01;293.7;272.65;11.54;749.53;1023.0;29.0;;1052.0;;785.81;;785.81;0.0;3.7661;753.29
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS       ;TELES PIRES         ;AMCLR;COLIDER;13;228;2026-01-01;266.46;250.11;-653.06;1099.8;669.0;382.0;;1051.0;;864.15;;73.0;0.0;3.7661;53.23
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS       ;TELES PIRES         ;AMUHTP;TELES PIRES;14;229;2026-01-01;220.41;162.77;93.73;2687.0;1953.0;734.0;;2687.0;;3150.05;;2215.88;2.544;3.8206;2031.36
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS       ;TELES PIRES         ;AMUSMA;SAO MANOEL;15;230;2026-01-01;161.44;138.31;100.0;2807.0;1936.0;871.0;;2807.0;;3155.83;;20.12;0.0;3.8206;126.32
SE;Sudeste/Centro-Oeste;FIO;DOCE           ;SUDESTE             ;DCUHEC;CANDONGA;23;139;2026-01-01;327.2;278.06;69.28;71.22;68.0;0.0;2.0;68.0;;82.51;;82.51;-0.039;0.7445;71.93
SE;Sudeste/Centro-Oeste;FIO;DOCE           ;SUDESTE             ;PCGAMO;GUILM. AMORIM;24;192;2026-01-01;494.76;377.07;91.58;29.61;31.0;0.0;2.0;31.0;;24.56;;24.56;-0.012;0.5845;30.18
SE;Sudeste/Centro-Oeste;FIO;DOCE           ;SUDESTE             ;DCSCAR;SA CARVALHO;25;193;2026-01-01;372.57;256.35;69.64;19.55;16.0;1.0;;17.0;;23.53;;0.55;-0.002;0.59;-8.95
SE;Sudeste/Centro-Oeste;RES;DOCE           ;SUDESTE             ;DCSACM;SANTONIO CM;26;193;2026-01-01;359.59;;;36.0;;4.0;;4.0;30.0;;;;;;
SE;Sudeste/Centro-Oeste;FIO;DOCE           ;SUDESTE             ;SASGCM;SALTO GRANDE CM;27;134;2026-01-01;354.0;;74.47;41.74;25.0;1.0;;26.0;;49.2;;49.2;-0.085;0.17;45.83
SE;Sudeste/Centro-Oeste;RCU;DOCE           ;SUDESTE             ;DCPORT;PORTO ESTRELA;28;135;2026-01-01;253.49;204.57;53.2;21.88;47.0;0.0;;47.0;;48.69;;0.0;-0.042;0.19;-8.8
SE;Sudeste/Centro-Oeste;FIO;DOCE           ;SUDESTE             ;DCUBAG;BAGUARI;29;141;2026-01-01;184.75;165.18;48.15;205.95;212.0;0.0;0.0;212.0;;199.66;;70.21;-0.044;3.49;80.37
SE;Sudeste/Centro-Oeste;FIO;DOCE           ;SUDESTE             ;DCAIMO;AIMORES;30;143;2026-01-01;89.85;59.81;63.1;246.43;203.0;0.0;16.0;219.0;;230.57;;30.03;-0.153;4.6029;40.39
SE;Sudeste/Centro-Oeste;FIO;DOCE           ;SUDESTE             ;DCMASC;MASCARENHAS;31;144;2026-01-01;60.52;37.69;80.94;292.5;291.0;0.0;;291.0;;284.49;;53.74;-0.05;5.1997;72.38
SE;Sudeste/Centro-Oeste;RCU;GRANDE         ;PARANA              ;GRCAMA;CAMARGOS;32;1;2026-01-01;907.66;885.88;49.8;79.5;42.0;0.0;;42.0;;63.57;;63.57;0.123;0.2119;79.83
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;GRITUT;ITUTINGA;33;2;2026-01-01;885.9;856.3;97.51;46.148;45.0;0.0;0.0;45.0;;63.57;;0.0;;;0.0
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;GRFUNI;FUNIL-MG;34;4;2026-01-01;808.0;766.93;100.0;171.0;171.0;0.0;;171.0;;208.49;;149.59;0.175;0.8674;129.33
SE;Sudeste/Centro-Oeste;RCU;GRANDE         ;PARANA              ;GRFURN;FURNAS;35;6;2026-01-01;757.71;669.66;31.23;504.08;202.0;0.0;0.0;202.0;;530.22;;379.1;8.314;4.0252;409.72
SE;Sudeste/Centro-Oeste;RCU;GRANDE         ;PARANA              ;GRMMOR;M. MORAES;36;7;2026-01-01;663.5;619.75;75.3;396.24;343.0;0.0;0.0;343.0;;544.83;;69.87;2.118;4.6252;188.96
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;GRLCBA;L. C. BARRETO;37;8;2026-01-01;619.87;557.34;33.68;323.97;258.0;0.0;0.0;258.0;;553.58;;16.12;0.344;4.6952;-20.78
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;GRJAGU;JAGUARA;38;9;2026-01-01;557.47;512.16;65.67;276.61;228.0;0.0;;228.0;;555.35;;6.67;0.278;4.7306;21.01
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;GRIGAR;IGARAPAVA;39;10;2026-01-01;511.99;494.24;47.02;271.81;310.0;0.0;0.0;310.0;;565.26;;19.09;0.457;4.8406;43.96
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;GRVGRA;VOLTA GRANDE;40;11;2026-01-01;493.92;466.53;29.1;255.2;428.0;0.0;;428.0;;598.7;;42.63;1.859;5.0252;-48.07
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;GRPCOL;P. COLOMBIA;41;12;2026-01-01;466.23;443.04;41.95;378.03;394.0;0.0;0.0;394.0;;687.17;;94.43;1.389;6.5974;-46.51
SE;Sudeste/Centro-Oeste;RCU;GRANDE         ;PARANA              ;PDCACO;CACONDE;42;14;2026-01-01;841.99;750.3;37.42;66.72;32.0;0.0;0.0;32.0;;66.24;;66.24;0.173;0.42;67.32
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;PDECUN;E. DA CUNHA;43;15;2026-01-01;664.38;576.36;86.14;72.97;71.0;0.0;0.0;71.0;;96.83;;41.82;0.011;0.69;40.75
SE;Sudeste/Centro-Oeste;FIO;GRANDE         ;PARANA              ;PDLIMO;LIMOEIRO;44;16;2026-01-01;572.5;546.36;90.89;75.86;49.0;22.0;0.0;71.0;;94.46;;1.45;;;6.3
SE;Sudeste/Centro-Oeste;RCU;GRANDE         ;PARANA              ;GRMARI;MARIMBONDO;45;17;2026-01-01;433.77;380.86;23.61;522.81;936.0;0.0;315.0;936.0;;912.54;;191.07;2.24;15.5761;81.33
SE;Sudeste/Centro-Oeste;RCU;GRANDE         ;PARANA              ;GRAGVL;A. VERMELHA;46;18;2026-01-01;376.73;326.7;28.47;1305.08;923.0;0.0;0.0;923.0;;1054.2;;145.81;3.978;18.7729;255.25
SE;Sudeste/Centro-Oeste;FIO;ITABAPOANA     ;SUDESTE             ;ITRSL;ROSAL;66;217;2026-01-01;555.07;360.85;101.29;14.2;10.0;0.0;2.0;12.0;;15.4;;15.4;-0.002;0.12;14.32
SE;Sudeste/Centro-Oeste;RCU;JEQUITINHONHA  ;SUDESTE             ;JEIRAP;IRAPE;67;148;2026-01-01;497.09;330.19;58.15;29.47;65.0;0.0;;65.0;;48.98;;48.98;-0.779;0.13;28.82
SE;Sudeste/Centro-Oeste;FIO;MUCURI         ;SUDESTE             ;MUSCLA;STA.CLARA-MG;81;283;2026-01-01;84.66;32.97;71.2;19.29;26.0;0.0;0.0;26.0;0.0;24.06;;24.06;-0.049;0.6129;19.85
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL ;SUDESTE             ;PBPARA;PARAIBUNA;82;121;2026-01-01;703.08;625.4;36.68;85.13;55.0;0.0;0.0;55.0;;40.91;;40.91;-2.134;0.14;83.14
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL ;SUDESTE             ;PBSTAB;SANTA BRANCA;83;122;2026-01-01;612.03;;31.1;68.46;59.0;0.0;;59.0;;46.0;;5.95;-0.143;0.16;12.58
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL ;SUDESTE             ;PBJAGU;JAGUARI;84;120;2026-01-01;612.51;555.98;38.26;13.0;4.0;1.0;0.0;5.0;8.0;11.63;;11.63;-0.486;0.1;12.61
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL ;SUDESTE             ;PBFUNI;FUNIL;85;123;2026-01-01;452.96;394.5;29.49;100.13;172.0;0.0;0.0;172.0;;107.99;;55.18;-0.349;6.6494;42.17
SE;Sudeste/Centro-Oeste;RBB;PARAIBA DO SUL ;SUDESTE             ;PBSTAC;SANTA CECILIA;86;125;2026-01-01;352.09;;51.72;183.19;;74.0;;74.0;124.0;139.99;;42.32;-0.004;7.3094;21.84
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;PBPCDA;PICADA;87;126;2026-01-01;658.8;526.27;20.0;24.92;26.0;0.0;1.0;27.0;;22.75;;22.75;-0.012;0.06;24.96
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;PUSOBR;SOBRAGI;88;127;2026-01-01;437.49;355.45;100.0;44.0;29.0;15.0;0.0;44.0;0.0;46.17;;23.67;-0.001;0.8555;18.21
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL ;SUDESTE             ;PBANTA;ANTA;89;128;2026-01-01;251.42;233.33;92.0;185.75;107.0;3.0;0.0;110.0;73.35;277.24;181.79;75.23;;9.1677;66.25
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;PBUSSI;SIMPLICIO;90;129;2026-01-01;251.16;138.3;93.45;73.28;73.0;0.0;0.0;73.0;;0.0;73.35;0.0;;;0.0
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;PBILHP;ILHA POMBOS;91;130;2026-01-01;139.94;;97.19;200.59;197.0;0.0;;197.0;;296.64;201.19;30.58;0.019;9.3142;24.42
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL ;SUDESTE             ;RPSANT;SANTANA;92;181;2026-01-01;362.82;;58.44;10.88;;0.0;;0.0;119.0;7.77;90.15;2.47;;;8.85
SE;Sudeste/Centro-Oeste;RBB;PARAIBA DO SUL ;SUDESTE             ;PBVIG;VIGARIO;93;182;2026-01-01;398.41;;78.96;115.622;;119.0;;119.0;;0.0;90.15;0.0;;0.0;115.622
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;RLNPEC;NILO PEÇANHA;94;131;2026-01-01;398.41;;;104.0;104.0;;;104.0;;2.49;90.15;0.0;0.0;0.03;-14.97
